name,source,gender,wikidata,type
"1 B",,,,way
1A,,,,way
"2, 3A",,,,way
5,,,,way
"5 A",,,,way
6,,,,way
"6 A",,,,way
"Accesso Schelmtal - Zufahrt Schelmtal",,,,way
"Acesso circonvallazione Bolzano - Anschluss Umfahrung Bozen",,,,way
"Altenberg - Montalto",,,,way
"Altenberg / Fraktionswald - Montalto / Fraktionswald",,,,way
"Am Grumeregg - Via Grumeregg",,,,way
"Bosco dei bricconi - Schelmwald",,,,way
"Brennerautobahn - Autostrada del Brennero",,,,way
"Brennerstraße - Via Brennero",,,,way
"Circonvallazione Bolzano - Umfahrung Bozen",,,,way
"Corso Italia - Italienallee",,,,way
"Corso della Libertà - Freiheitsstraße",,,,relation
"Costa di Sopra - Oberleitach",,,,way
"Costa di Sotto - Unterleitach",,,,way
"Costa di sopra - Oberleitach",,,,way
"Eggentaler Straße - Via Val d'Ega",,,,way
"Fossa Chiaro di Luna - Mondscheingraben",,,,way
"Fossa Perele - Perelegraben",,,,way
"Fossa Stampfl - Stampflgraben",,,,way
"Fossa del Paese - Landgraben",,,,way
"Francesco-Mignone-Park - Parco Francesco Mignone",,,,way
"Galleria Europa - Europagalerie",,,,way
"Galleria Grifone - Greifgalerie",,,,way
"Galleria Raffaello Sernesi - Raffaello-Sernesi-Galerie",,,,way
"Galleria Sernesi - Sernesigalerie",,,,way
"Galleria Stella - Sterngalerie",,,,way
"Galleria Telser - Telsergalerie",,,,way
"Galleria Vintler - Vintler Galerie",,,,way
"Galleria Vintler - Vintlergalerie",,,,way
"Greifensteiner Weg - Via Greifenstein",,,,way
Grosswiesweg,,,,way
Herrentisch,,,,way
"Hörtenbergtunnel - Galleria Monte Tondo",,,,way
"Innsbrucker Straße - Via Innsbruck",,,,way
Kaltlacktal,,,,way
"Kaltlacktal oben",,,,way
Kaltlacktalweg,,,,way
"Kampenn – Campegno",,,,way
Katzenleiter,,,,way
Kohlbrenner,,,,way
Lärchenstock,,,,way
"Largo Donatori del Sangue - Blutspenderplatz",,,,way
"Largo Falcone e Borsellino - Falcone-und-Borsellino-Platz",,,,way
"Lungo Adige - Etschufer",,,,way
"Lungo Isarco Destro - Rechtes Eisackufer",,,,way
"Lungo Isarco Sinistro - Linkes Eisackufer",,,,way
"Lungo Talvera Bolzano - Bozner Wassermauer",,,,way
"Lungo Talvera Gries - Grieser Wassermauer",,,,way
"Lungo Talvera S. Quirino - Quireiner Wassermauer",,,,way
"Lungo Talvera San Quirino - Quireiner Wassermauer",,,,way
"Lungo Talvera degli Alpini - Alpini-Wassermauer",,,,way
"Lungotalvera Gries - Grieser Wassermauer",,,,way
"Mebo-Schnellstraße - Superstrada Mebo",,,,way
"Meraner Kreuzung",,,,way
"Mondscheinweg - Via Mondschein",,,,way
"Montalto - Altenberg",,,,way
"Nesselbrunnweg - Via Nesselbrunn",,,,way
"Nr. 10A",,,,way
"Nr. 3",,,,way
"Obermagdalena - Santa Maddalena di Sopra",,,,way
Oswaldweg,,,,way
"Palù dell'Angelo - Engelmoosweg",,,,way
"Parcheggio Lido via Trieste",,,,way
"Parco Francesco Petrarca - Francesco-Petrarca-Park",,,,way
"Passaggio Antico Municipio - Am Alten Rathaus",,,,way
"Passaggio Don Giorgio Cristofolini - Don-Giorgio-Cristofolini-Passage",,,,way
"Passaggio Duomo - Dompassage",,,,way
"Passaggio Guido Anton Muss - Guido-Anton-Muss-Gasse",,,,way
"Passaggio Luigi Valenti - Luigi-Valenti-Weg",,,,way
"Passaggio May Hofer - May-Hofer-Passage",,,,way
"Passaggio Nazim Hikmet - Nazim-Hikmet-Weg",,,,way
"Passaggio Walther - Waltherpassage",,,,way
"Passaggio dott. Perathoner - Dr.-Perathoner-Durchgang",,,,way
"Passeggiata Jordan - Jordan-Promenade",,,,way
"Passeggiata Lungotalvera Gries",,,,way
"Passeggiata Rio Fago - Fagenbach-Promenade",,,,way
"Passeggiata Sant'Osvaldo - Oswaldpromenade",,,,way
"Passeggiata dei Castani - Köstenweg",,,,way
"Passeggiata del Guncina - Guntschnapromenade",,,,way
"Passeggiata del Virgolo - Virglpromenade",,,,way
Pedemontana,,,,way
"Piazza 4 Novembre - 4.-November-Platz",,,,way
"Piazza Adriano - Hadrianplatz",,,,way
"Piazza Cristo Re - Christkönigplatz",,,,way
"Piazza Dogana - Zollstangenplatz",,,,way
"Piazza Domenicani - Dominikanerplatz",,,,way
"Piazza Don Bosco - Don-Bosco-Platz",,,,way
"Piazza Don Giuseppe Rauzi - Don-Giuseppe-Rauzi-Platz",,,,way
"Piazza Don Vittorio Franzoi - Don-Vittorio-Franzoi-Platz",,,,way
"Piazza Duomo - Domplatz",,,,way
"Piazza Fiera - Messeplatz",,,,way
"Piazza Gries - Grieser Platz",,,,way
"Piazza L. Ziller - L.-Ziller-Platz",,,,way
"Piazza Nikolaus Firmian - Nikolaus-Firmian-Platz",,,,way
"Piazza Piero Siena - Piero-Siena-Platz",,,,way
"Piazza Università - Universitätsplatz",,,,way
"Piazza Wilhelm Alexander Loew-Cadonna - Wilhelm-Alexander-Loew-Cadonna-Platz",,,,way
"Piazza del Grano - Kornplatz",,,,way
"Piazza del Municipio - Rathausplatz",,,,way
"Piazza della Dogana - Zollstangenplatz",,,,way
"Piazza della Madonna - Marienplatz",,,,way
"Piazza della Mostra - Musterplatz",,,,way
"Piazza della Parrocchia - Pfarrplatz",,,,way
"Piazza della Stazione - Bahnhofsplatz",,,,way
"Piazza della Vittoria - Siegesplatz",,,,way
"Piazza delle Erbe - Obstplatz",,,,way
"Piazzale Alexander Langer - Alexander-Langer-Platz",,,,way
"Piazzetta Charles Darwin - Darwinplatz",,,,way
"Piazzetta Don Francesco Daz - Don-Francesco-Daz-Platz",,,,way
"Piazzetta Franz Innerhofer - Franz-Innerhofer-Platz",,,,way
"Piazzetta Hans e Sophie Scholl - Hans-und-Sophie-Scholl-Platz",,,,way
"Piazzetta I 23 del Mignone - Platz der 23 Opfer des Mignone Massakers",,,,way
"Piazzetta San Vigilio - Sankt-Vigil-Platz",,,,way
"Piazzetta del Bersaglio - Schießstandplatz",,,,way
"Pié di Castello - Schlossweg",,,,way
"Piè di Virgolo - Untervirgl",,,,way
"Pista Ciclabile Valle dell'Adige - Etschtalradweg",,,,way
"Pista ciclabile Bolzano-Merano - Radweg Meran-Bozen",,,,way
"Ponte Campiglio - Kampiller Brücke",,,,way
"Ponte Druso - Drususbrücke",,,,way
"Ponte Loreto - Loretobrücke",,,,way
"Ponte Resia - Reschenbrücke",,,,way
"Ponte Roncolo - Runkelsteiner Brücke",,,,way
"Ponte Sant'Antonio - Sankt-Anton-Brücke",,,,way
"Ponte Talvera - Talferbrücke",,,,way
"Ponte Virgolo - Virglbrücke",,,,way
Rafenstein,,,,way
"Rafensteiner Weg - Via Rafenstein",,,,way
"Rentschner Straße - Via Rencio",,,,way
"Rosseg Loachhütt",,,,way
Rossegg,,,,way
"Rotonda Vittime della Cellsa - Platz der Cellsa-Opfer",,,,way
"Rotonda dell'Agruzzo - Kreisverkehr Grutzen",,,,way
"Salita Sant'Osvaldo - Oswaldleiten",,,,way
"Santa Maddalena di Sopra - Obermagdalena",,,,way
"Santa Maddalena di Sotto - Untermagdalena",,,,way
"Schloss-Ried-Weg - via Castel Ried",,,,way
Schnecken,,,,way
"Sentiero del Confine - Grenzweg",,,,way
"Sentiero della Scuola - Schulsteig",,,,way
"Sentiero di marcia - Marchweg",,,,way
"Serbatoio d'acqua Colle - Wasserreservoir Kohlern",,,,way
"Sill - Via Castel Novale",,,,way
Silvius-Magnago-Platz,,,,way
"Strada Rio Molino - Mühlbachpromenade",,,,way
"Strada Statale dell'Abetone e del Brennero - Brenner-Staatsstraße",,,,way
"Stradella San Maurizio - Moritzinger Feldweg",,,,way
"Superstrada Mebo - Mebo Schnellstraße",,,,way
Traubengang,,,,way
"Untermagdalena - Santa Maddalena di Sotto",,,,way
"Unterplatten - Laste Basse",,,,way
"Valle del Lupo - Monte Cervo - Wolftal - Hirschenkopf",,,,way
"Valle dello Stagno - Weihertal",,,,way
"Vecchio sentiero del Colle - Alter Kohlererweg",,,,way
"Via Aeroporto Francesco Baracca - Flughafen-Francesco-Baracca-Straße",,,,way
"Via Agruzzo - Grutzenweg",,,,way
"Via Albin Egger Lienz - Albin-Egger-Lienz-Straße",,,,way
"Via Amalfi - Amalfistraße",,,,way
"Via Antonio Rosmini - Antonio-Rosmini-Straße",,,,way
"Via Argentieri - Silbergasse",,,,way
"Via Aslago - Haslacher Straße",,,,way
"Via Bivio - Kaiserau",,,,way
"Via Brennero - Brennerstraße",,,,way
"Via Cadorna - Cadornastraße",,,,way
"Via Campegno - Kampenner Weg",,,,way
"Via Campofranco - Campofrancostraße",,,,way
"Via Camponuovo - Neufeldweg",,,,way
"Via Camporoda - Rodlauweg",,,,way
"Via Cassa di Risparmio - Sparkassenstraße",,,,way
"Via Castel Firmiano - Sigmundskroner Straße",,,,way
"Via Castel Greifenstein - Greifensteiner Weg",,,,way
"Via Chiaro di Luna",,,,way
"Via Cologna - Glaninger Weg",,,,way
"Via Cologna - Glaningerweg",,,,way
"Via Damiano Chiesa - Damiano-Chiesa-Straße",,,,way
"Via Delai - Delai-Straße",,,,way
"Via Dodiciville (privata) - Zwölfmalgreiner Straße (privat)",,,,way
"Via Dodiciville - Zwölfmalgreiner Straße",,,,way
"Via Dolomiti - Dolomitenstraße",,,,way
"Via Einstein",,,,way
"Via Eisenkeller - Eisenkellerweg",,,,way
